,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,Dairy Queen,Veggie Quesadilla Basket,1040,77,1.5,2250,67,6
,,Dairy Queen,OREO Cookies Blizzard - Large,1040,38,1,610,158,121
,,Dairy Queen,Turtle Pecan Cluster Blizzard - Medium,1030,53,0.5,470,129,115
,,Dairy Queen,Cookie Dough Blizzard - Medium,1030,40,1,1080,157,117
,,Dairy Queen,Midnight Truffle Blizzard - Medium,1020,48,1,340,136,113
,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,DeDutch,Omelette – Boer's with Salad,1783,112,0.9,3673,94,21
,,DeDutch,Omelette – Boer's with Fruit,1720,98,0.9,3665,111,36
,,DeDutch,Pannekoeken - #8 Boer's,1652,97,0.2,4130,106,6
,,DeDutch,Omelette – Smoked Salmon with Salad,1612,106,0.6,2455,91,13
,,DeDutch,Omelette – Smoked Salmon with Fruit,1548,91,0.6,2448,108,28
,,DeDutch,French Toast – Maple,1540,30,0,1996,275,75
,,DeDutch,Omelette – Shrimp with Salad,1517,98,0.6,2301,90,13
,,DeDutch,French Toast – Chocolate Strawberry,1517,43,0,2071,239,24
,,DeDutch,Omelette – Shrimp with Fruit,1453,83,0.6,2293,108,28
,,DeDutch,French Toast – French Vanilla,1422,33,0,2013,236,41
,,DeDutch,Omelette – Meat Lovers with Salad,1407,82,0.7,3280,75,14
,,DeDutch,Dutch Scramble – Salami with Salad,1402,83,0.8,2335,84,19
,,DeDutch,Pannekoeken - #4 Meatlovers Hash,1397,74,0.2,3509,97,9
,,DeDutch,DeBratwurst & Eggs with Salad,1370,85,0.8,2064,74,14
,,DeDutch,Omelette – Meat Lovers with Fruit,1343,67,0.7,3272,92,29
,,DeDutch,Beef Dip (includes 1/4 cup of Au Jus Dip & Hashbrowns),1341,26,0.2,3124,195,9
,,DeDutch,Dutch Scramble – Salami with Fruit,1339,69,0.8,2327,101,33
,,DeDutch,Bouncer - Ham & Cheese with Hashrowns,1338,60,1,2756,126,55
,,DeDutch,French Toast – Hawaiian,1328,36,0,2786,200,42
,,DeDutch,Pannekoeken - #1 Granola,1319,22,0.2,582,260,175
,,DeDutch,DeBratwurst & Eggs with Fruit,1306,71,0.8,2056,91,29
,,DeDutch,Bouncer - Cheese with Hashbrowns,1287,59,1,2008,125,54
,,DeDutch,Hash-n-Eggs Meat Lovers,1280,71,0.9,3035,74,15
,,DeDutch,Omelette – Southwest Chili with Salad,1279,65,0.6,1579,91,15
,,DeDutch,Pannekoeken - #19 Amsterkoek,1275,90,0.4,3433,69,6
,,DeDutch,Dutch Scramble – Sausage with Salad,1257,70,0.9,1429,84,19
,,DeDutch,Dutch Benedict – Spinich & Shrimp with Salad,1230,66,0.2,1285,82,7
,,DeDutch,Dutch Scramble – Turkey Bacon with Salad,1222,67,0.8,1909,85,18
,,DeDutch,Dutch Benedict – Shrimp with Salad,1219,66,0.2,1240,79,7
,,DeDutch,Omelette – Salami & Cheese with Salad,1217,70,0.6,1609,73,12
,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,Dennys,Double Cheeseburger,1540,116,7,3880,33,9
,,Dennys,Potachos,1460,110,1.5,2700,82,7
,,Dennys,Supreme French Toast,1380,84,1,2290,113,8
,,Dennys,Sampler,1380,71,0,3710,139,11
,,Dennys,Western Burger,1300,82,3,2700,83,18
,,Dennys,Fruity French Toast Complete w/Cherries,1230,64,0,2100,107,
,,Dennys,Flat Jack Sizzlin Skillet,1210,60,0,2590,126,48
,,Dennys,Steak & Cheese Omel w/hash Brown,1190,56,0.5,3230,107,7
,,Dennys,Extreme Grand Slam,1160,64,0,3750,102,7
,,Dennys,Heartland Scramble,1150,66,0.5,2800,97,12
